#U1=7.40V
#U3=1.90V
#If=0.41A
#T=125.6C
#Type Hg
#
#
#U2 [V]      Ia [nA]
0.00       0.0
0.06       0.0
0.35       0.0
0.65       0.0
0.94       0.0
1.24       0.0
1.54       0.0
1.83       0.0
2.13       0.0
2.43       0.0
2.72       0.0
3.02       0.0
3.32       0.0
3.61       0.0
3.91       0.101
4.21       0.395
4.50       0.612
4.80       0.814
5.09       0.63
5.39       0.505
5.69       0.158
5.98       0.0
6.28       0.0
6.58       0.0
6.86       0.0
7.17       0.0
7.47       0.102
7.76       0.362
8.06       0.809
8.36       1.377
8.65       1.99
8.95       2.791
9.24       3.431
9.54       3.69
9.83       3.781
10.13      3.396
10.43      2.791
10.71      1.922
11.02      1.374
11.32      0.847
11.61      0.703
11.91      0.621
12.20      0.749
12.50      1.129
12.79      1.677
13.09      2.329
13.38      3.126
13.68      4.117
13.98      5.195
14.27      5.744
14.57      6.244
14.87      6.0
15.16      5.598
15.46      4.787
15.75      3.829
16.05      3.065
16.34      2.579
16.64      2.214
16.94      2.06
17.23      2.085
17.52      2.307
17.82      2.868
18.12      3.734
18.41      4.518
18.71      5.621
19.00      6.452
19.30      7.219
19.59      7.638
19.89      7.822
20.18      7.473
20.48      6.718
20.77      6.156
21.06      5.628
21.36      4.942
21.65      4.409
21.95      4.191
22.24      4.001
22.54      4.128
22.83      4.479
23.13      5.041
23.42      5.855
23.71      6.732
24.01      7.646
24.30      8.273
24.59      8.708
24.89      8.937
25.18      8.835
25.47      8.657
25.77      8.279
26.06      7.927
26.35      7.365
26.64      6.959
26.94      6.641
27.23      6.381
27.52      6.179
27.81      6.522
28.10      6.754
28.39      7.259
28.69      7.711
28.98      8.282
29.21      8.971
